"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","泉崎","長町南",8,39000000,150,"ほぼ長方形",14.5,105,"2011年","木造","住宅","","西","市道",4,"２中住専",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大塒町","長町南","30分～60分",20000000,170,"長方形",9.5,105,"2011年","木造","住宅","","北東","市道",6,"１低住専",50,80,"2011年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","袋原","南仙台","30分～60分",16000000,155,"ほぼ長方形",9,100,"2010年","木造","住宅","","北東","市道",6.2,"２中住専",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","袋原","南仙台","30分～60分",17000000,150,"不整形",2,100,"2010年","木造","住宅","","北東","市道",6,"２中住専",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","袋原","南仙台","30分～60分",13000000,160,"ほぼ長方形",9.3,85,"1982年","木造","住宅","","南","市道",5,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","袋原","南仙台","30分～60分",6000000,165,"ほぼ台形",15,80,"1976年","木造","住宅","","南東","市道",5.5,"２中住専",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","袋原","南仙台","30分～60分",16000000,195,"ほぼ長方形",11,110,"1995年","軽量鉄骨造","住宅","","東","私道",6,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","富沢","30分～60分",26000000,220,"長方形",11,105,"2012年","木造","住宅","","南西","市道",4.2,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","長町南","30分～60分",24000000,200,"ほぼ整形","",105,"2011年","木造","住宅","","南","私道",4,"１低住専",50,80,"2011年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",12000000,220,"長方形",12.6,130,"","木造","住宅","","南西","私道",4,"２種住居",60,200,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",14000000,280,"不整形",30,140,"1992年","木造","住宅","","西","市道",6.5,"１低住専",50,80,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","1H～1H30",12000000,270,"ほぼ長方形",13,95,"1980年","木造","住宅","","北東","道路",6,"１低住専",50,80,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",13000000,175,"ほぼ正方形",13.6,125,"1994年","木造","住宅","","南","私道",4.2,"１低住専",40,80,"2011年第2四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","緑ケ丘","長町南",28,19000000,270,"長方形",15.5,210,"1988年","木造","共同住宅","","南","市道",6,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取本町","長町南","30分～60分",23000000,230,"不整形",2.7,105,"2011年","木造","住宅","","北","市道",4,"１低住専",50,80,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","鈎取本町","長町南","2H～",850000000,"2,000㎡以上","ほぼ整形","50.0m以上","","","","","","南東","国道",30,"近隣商業",80,200,"2011年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鹿野","長町南",12,36000000,175,"不整形",4,115,"2011年","木造","住宅","","南西","町道",6,"近隣商業",80,200,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鹿野","長町南",8,41000000,135,"ほぼ長方形",9,110,"2010年","木造","住宅","","南","市道",6,"１種住居",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","長町南","1H～1H30",12000000,340,"ほぼ長方形",23,105,"1980年","木造","住宅","","北東","市道",5.5,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","長町南","1H～1H30",9900000,670,"不整形","",170,"1987年","木造","住宅","","南西","市道",5.7,"１低住専",50,80,"2011年第1四半期","調停・競売等、私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","恵和町","長町南","30分～60分",21000000,150,"ほぼ整形",13,105,"2011年","木造","住宅","","北東","市道",7,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","恵和町","長町南","30分～60分",7300000,200,"ほぼ整形",8,200,"1984年","木造","共同住宅","","北東","市道",6.2,"２種住居",60,200,"2011年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",19,27000000,145,"ほぼ長方形",11.2,105,"2011年","木造","住宅","","南","市道",6.5,"２種住居",60,200,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",18,15000000,340,"ほぼ長方形",24.3,130,"1972年","木造","住宅","","南","市道",6,"１種住居",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",8,35000000,380,"ほぼ台形",11,290,"1993年","木造","住宅、共同住宅","","東","市道",5,"工業",60,200,"2011年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",12,44000000,180,"ほぼ長方形",14.5,110,"2010年","軽量鉄骨造","住宅","","西","市道",6,"２種住居",60,200,"2011年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","八木山本町","愛宕橋","30分～60分",18000000,290,"ほぼ長方形",15,210,"1985年","軽量鉄骨造","共同住宅","","南西","市道",10,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",18,11000000,230,"ほぼ正方形",15,280,"1965年","鉄骨造","工場、事務所","","北東","道路",3.5,"準工業",60,200,"2011年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",11,14000000,155,"ほぼ台形",17,125,"1990年","木造","住宅","","東","私道",4,"２種住居",60,200,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","八木山本町","長町南","30分～60分",28000000,360,"ほぼ長方形",17,125,"1970年","木造","住宅","","南東","市道",8,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","八木山松波町","愛宕橋","30分～60分",7100000,250,"台形",19,60,"1961年","木造","住宅","","北","市道",5,"２種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","柳生","南仙台",20,31000000,250,"長方形",12,150,"1995年","木造","住宅","","北","市道",6,"１種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","柳生","南仙台",20,31000000,280,"ほぼ長方形",13.5,165,"1993年","木造","住宅","","南","市道",6,"１種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",11000000,175,"長方形",12.2,120,"1990年","木造","住宅","","西","村道",4,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",8900000,190,"ほぼ正方形",13.5,85,"1986年","木造","住宅","","南東","私道",4,"１低住専",50,80,"2011年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",22000000,175,"ほぼ長方形",12.5,105,"2012年","木造","住宅","","南","私道",5,"１低住専",50,80,"2011年第4四半期",""
